
******本文件为VBC程序读取桥梁、轨道模态信息的文件，格式与MIDAS软件模态表格样式类似******

     模态号      圆频率                    频率                    周期
         4         1      3.053065E-19      7.370380E-20      6.110113E-07     -1.072815E-18     -5.585138E-20     -1.225944E-19	
         5         1      3.622344E-19      5.224159E-20      6.110113E-07     -1.410488E-18      1.238241E-20     -8.190100E-20	
         6         1      4.112625E-19      2.088617E-20      6.110113E-07     -1.727795E-18     -3.068520E-20     -8.305767E-20	
         7         1      5.031828E-19      1.904861E-20      6.110113E-07     -1.943393E-18     -4.057045E-20      8.958677E-21	
         8         1      4.499667E-19      3.559249E-20      6.110113E-07     -2.180107E-18     -1.694736E-19      7.881075E-20	
         9         1      3.853807E-19      4.108268E-20      6.110113E-07     -2.430625E-18     -1.096062E-19      9.296020E-20	
        10         1      2.903304E-19      8.688583E-21      6.110113E-07     -2.609731E-18     -4.911021E-20      1.109643E-19	
        11         1      1.877226E-19     -2.200248E-20      6.110113E-07     -2.759770E-18     -5.056460E-20      3.839353E-20	
        12         1      1.549754E-19     -4.374443E-20      6.110113E-07     -2.881133E-18     -6.421160E-21      9.694024E-20	
        13         1      8.548246E-20     -3.115235E-20      6.110113E-07     -2.974153E-18      4.021478E-20      9.403552E-20	
        14         1      3.699479E-20     -4.066940E-20      6.110113E-07     -3.106420E-18     -8.489815E-20      1.051847E-20	
        15         1      5.536330E-20     -5.718707E-20      6.110113E-07     -3.088583E-18     -1.360105E-19     -1.579548E-20	
        16         1      1.389609E-20      2.064558E-20      6.110113E-07     -3.159394E-18     -1.425091E-19     -2.637573E-21	
        17         1      0.000000E+00      0.000000E+00      3.559002E-07      0.000000E+00      0.000000E+00      0.000000E+00	
        18         1     -3.833389E-21      1.276341E-20      3.559002E-07     -3.267991E-19      1.204000E-20      1.562765E-20	
        19         1     -9.472079E-20      3.498259E-21      3.559002E-07     -6.284926E-19      3.647982E-20      6.921937E-20	
        20         1     -2.117979E-19      2.111216E-20      3.559002E-07     -8.046328E-19     -2.329207E-21      7.393757E-20	
        21         1     -3.179799E-19      1.169538E-20      3.559002E-07     -9.686108E-19      5.580104E-20      7.157479E-20	
        22         1     -4.235047E-19      8.030457E-21      3.559002E-07     -1.177844E-18     -7.387579E-20      1.492655E-19	
        23         1     -5.257856E-19      1.762034E-20      3.559002E-07     -1.345642E-18     -3.943017E-21      1.052892E-19	
        24         1     -6.048050E-19      8.984420E-20      3.559002E-07     -1.468938E-18      4.281901E-22      8.971543E-20	
        25         1     -6.863336E-19      1.163125E-19      3.559002E-07     -1.658881E-18     -2.686591E-20      7.420858E-20	
        26         1     -7.279901E-19      9.507617E-20      3.559002E-07     -1.860180E-18      4.349176E-20      2.149221E-20	
        27         1     -6.997599E-19      3.567555E-20      3.559002E-07     -1.940628E-18      4.933839E-20     -4.046319E-20	
        28         1     -6.650834E-19      1.023265E-20      3.559002E-07     -2.077108E-18      4.834827E-20     -5.058371E-20	
        29         1     -6.019548E-19     -2.618301E-20      3.559002E-07     -2.163516E-18      3.941983E-20     -1.403032E-19	
        30         1     -4.558707E-19     -1.393095E-20      3.559002E-07     -2.084864E-18      5.793748E-20     -2.327390E-19	
        31         1     -2.807234E-19      2.537601E-20      3.559002E-07     -2.115287E-18     -1.362853E-20     -1.636343E-19	
        32         1     -7.810968E-20      1.272595E-20      3.559002E-07     -2.159018E-18      1.903236E-21     -2.091898E-19	
        33         1      1.389609E-20      2.064558E-20      6.110113E-07     -3.159394E-18      7.972224E-09     -6.282778E-21	
        34         1      3.084431E-22      3.690927E-20      6.030391E-07     -2.976895E-18      7.972224E-09      2.417703E-20	
        35         1      2.314969E-20      4.422295E-20      5.950669E-07     -2.993601E-18      7.972224E-09      2.838595E-20	
        36         1      3.303857E-20      1.024315E-19      5.870946E-07     -2.891645E-18      7.972224E-09      1.009053E-20	
        37         1     -4.662019E-20      9.158563E-20      5.791224E-07     -2.978795E-18      7.972224E-09     -2.156261E-20	
        38         1     -8.397468E-20      6.714755E-20      5.711502E-07     -2.884584E-18      7.972224E-09     -7.107639E-20	
        39         1      2.037434E-20     -2.822591E-22      5.631780E-07     -2.903279E-18      7.972224E-09     -5.775100E-20	
        40         1      9.439151E-20     -3.707504E-20      5.552057E-07     -2.840350E-18      7.972224E-09     -3.496469E-20	
        41         1      5.007379E-20     -7.209017E-20      5.472335E-07     -2.820701E-18      7.972224E-09     -3.954542E-20	
        42         1      9.206506E-21     -1.298567E-19      5.392613E-07     -2.794752E-18      7.972224E-09     -5.444120E-21	
        43         1     -6.078401E-21     -1.233941E-19      5.312891E-07     -2.737771E-18      7.972224E-09     -2.955024E-21	
        44         1     -2.703055E-20     -1.616098E-19      5.233169E-07     -2.768009E-18      7.972224E-09     -6.172839E-21	
        45         1     -5.881752E-20     -2.015022E-19      5.153446E-07     -2.724614E-18      7.972224E-09     -5.788484E-20	
        46         1     -3.966731E-20     -2.472287E-19      5.073724E-07     -2.640173E-18      7.972224E-09     -4.598995E-21	
        47         1     -9.125895E-21     -2.917974E-19      4.994002E-07     -2.615495E-18      7.972224E-09     -1.529992E-20	
        48         1     -5.373385E-20     -3.099907E-19      4.914280E-07     -2.601967E-18      7.972224E-09     -2.852863E-20	
        49         1     -5.745604E-20     -3.020965E-19      4.834557E-07     -2.592633E-18      7.972224E-09      5.346163E-20	
        50         1     -3.937364E-20     -2.771141E-19      4.754835E-07     -2.522042E-18      7.972224E-09     -6.147596E-22	
        51         1      6.450143E-21     -2.150792E-19      4.675113E-07     -2.529662E-18      7.972224E-09      8.145145E-20	
        52         1     -4.089815E-20     -1.323312E-19      4.595391E-07     -2.450352E-18      7.972224E-09      5.897877E-20	
        53         1     -3.465210E-20     -2.586483E-20      4.515668E-07     -2.427328E-18      7.972224E-09      1.002610E-19	
        54         1      1.358239E-20      5.677254E-20      4.435946E-07     -2.381626E-18      7.972224E-09      7.160395E-20	
        55         1      5.568358E-20      7.838325E-20      4.356224E-07     -2.327539E-18      7.972224E-09     -1.645833E-20	
        56         1      4.948711E-20      7.323382E-20      4.276502E-07     -2.291948E-18      7.972224E-09      5.268230E-21	
        57         1      2.042671E-20      4.145063E-20      4.196779E-07     -2.224220E-18      7.972224E-09     -2.603571E-20	
        58         1      5.161884E-21      7.070203E-20      4.117057E-07     -2.168782E-18      7.972224E-09      4.956708E-20	
        59         1      1.242520E-19      6.618621E-20      4.037335E-07     -2.180063E-18      7.972224E-09     -1.516727E-20	
        60         1      1.948081E-19      2.164020E-20      3.957613E-07     -2.197144E-18      7.972224E-09     -6.296237E-20	
        61         1      1.071937E-19      2.936110E-20      3.877891E-07     -2.166900E-18      7.972224E-09      5.633619E-20	
        62         1      4.785485E-20      5.569954E-20      3.798168E-07     -2.200059E-18      7.972224E-09      1.801218E-20	
        63         1      7.901474E-20      2.839055E-20      3.718446E-07     -2.180272E-18      7.972224E-09     -3.161830E-20	
        64         1      7.023928E-20      1.166297E-20      3.638724E-07     -2.146093E-18      7.972224E-09      3.812966E-20	
        65         1      4.496165E-20      1.272595E-20      3.559002E-07     -2.159018E-18      7.972224E-09      2.797352E-20	
         1         2      0.000000E+00      0.000000E+00     -3.559002E-07      0.000000E+00      0.000000E+00      0.000000E+00	
         2         2      1.407374E-19      4.180147E-19     -3.559002E-07      1.598327E-19     -2.531158E-20      1.154711E-19	
         3         2      4.501913E-20      5.720446E-19     -3.559002E-07      6.365984E-20     -4.136646E-20     -4.051058E-20	
         4         2      4.302653E-19      2.156847E-19     -3.559002E-07     -2.726694E-19      2.204992E-19     -1.767151E-19	
         5         2      8.756339E-19     -1.140036E-19     -3.559002E-07      1.646741E-19     -1.374809E-19     -2.114506E-19	
         6         2      1.169639E-18     -2.780251E-19     -3.559002E-07      1.257010E-19     -3.869058E-19     -5.047619E-20	
         7         2      1.170055E-18     -2.771593E-19     -3.559002E-07     -2.307046E-19     -7.908502E-20     -7.906594E-20	
         8         2      1.342580E-18      4.877110E-21     -3.559002E-07      2.509933E-19     -5.487888E-19     -3.200605E-19	
         9         2      1.276024E-18      1.513282E-19     -3.559002E-07      5.647487E-20     -3.463281E-19      2.773890E-19	
        10         2      6.831604E-19      4.690216E-20     -3.559002E-07     -8.143998E-21     -5.930573E-19      5.117082E-19	
        11         2      3.670394E-19      2.092583E-19     -3.559002E-07     -4.528270E-20     -2.162033E-19     -1.733192E-20	
        12         2      7.357647E-19      5.374777E-20     -3.559002E-07      2.310324E-19     -3.019312E-19     -3.255760E-19	
        13         2      7.482452E-19     -1.168541E-19     -3.559002E-07      4.621832E-19     -3.930857E-19      1.308193E-21	
        14         2      3.001584E-19     -2.355539E-19     -3.559002E-07      7.901180E-20     -4.077777E-19      2.755167E-19	
        15         2      2.286028E-20     -2.563174E-19     -3.559002E-07      5.083709E-20     -3.002429E-19      6.402547E-20	
        16         2      2.258398E-19      1.489918E-20     -3.559002E-07      5.588139E-19     -6.277101E-19     -4.473319E-19	
        17         2      0.000000E+00      0.000000E+00      6.110113E-07      0.000000E+00      0.000000E+00      0.000000E+00	
        18         2     -8.811649E-20     -8.892498E-21      6.110113E-07      1.317215E-19      1.735142E-19      1.507752E-19	
        19         2     -8.141166E-20     -1.422787E-20      6.110113E-07     -4.097317E-19      1.013241E-19     -2.105864E-19	
        20         2      7.687581E-20     -1.993068E-20      6.110113E-07     -4.198926E-19     -3.690336E-19     -7.457048E-20	
        21         2      1.698293E-19      1.206377E-19      6.110113E-07     -2.956781E-19      1.474438E-19      3.144692E-20	
        22         2      3.180709E-19     -2.287742E-20      6.110113E-07     -6.899863E-19      5.455379E-19      6.142563E-20	
        23         2      1.732728E-19     -2.313640E-19      6.110113E-07     -6.795198E-19     -3.731299E-20     -1.278250E-19	
        24         2      8.084078E-20     -2.510808E-19      6.110113E-07     -9.318374E-19     -1.022934E-19      9.616605E-20	
        25         2     -1.198010E-19     -1.946452E-19      6.110113E-07     -6.487215E-19      3.771531E-19      2.452725E-20	
        26         2     -1.658387E-20     -9.387970E-20      6.110113E-07     -5.019203E-19     -1.917238E-19     -9.345718E-20	
        27         2      2.782100E-19      2.054241E-19      6.110113E-07     -6.712668E-19     -1.868626E-20     -1.458811E-19	
        28         2      3.626638E-19      6.819781E-20      6.110113E-07     -7.560426E-19     -2.458851E-19      3.087396E-19	
        29         2     -1.017315E-19     -2.334346E-19      6.110113E-07     -1.078748E-18     -5.553040E-21      5.160802E-19	
        30         2     -1.888331E-19     -4.434755E-19      6.110113E-07     -1.103798E-18     -1.772861E-19      1.972439E-19	
        31         2     -1.887292E-19     -2.478688E-19      6.110113E-07     -1.211005E-18     -2.073356E-19     -8.385016E-20	
        32         2      2.324076E-19      1.711952E-19      6.110113E-07     -6.658376E-19      8.094959E-21     -6.757308E-19	
        33         2      2.258398E-19      1.489918E-20     -3.559002E-07      5.588139E-19     -3.021599E-08      2.881684E-19	
        34         2      2.326714E-19      3.465408E-19     -3.256842E-07     -8.023173E-20     -3.021599E-08      1.236432E-20	
        35         2     -2.087299E-19      3.593382E-19     -2.954682E-07     -1.623107E-19     -3.021599E-08      5.715223E-20	
        36         2     -1.852994E-19      2.123882E-19     -2.652523E-07     -1.739430E-19     -3.021599E-08     -6.258970E-20	
        37         2      1.680837E-19      1.400801E-20     -2.350363E-07     -1.499143E-19     -3.021599E-08     -3.187938E-19	
        38         2      1.555509E-19      1.011199E-19     -2.048203E-07     -3.554392E-19     -3.021599E-08      6.263924E-19	
        39         2     -1.769784E-19      4.168018E-19     -1.746043E-07     -4.293330E-19     -3.021599E-08     -1.233111E-19	
        40         2     -1.236890E-19      3.322330E-19     -1.443883E-07     -7.085353E-19     -3.021599E-08     -1.590681E-19	
        41         2      1.333964E-19      1.513570E-20     -1.141723E-07     -3.518901E-19     -3.021599E-08     -3.215058E-19	
        42         2      2.083815E-19     -1.935856E-19     -8.395634E-08     -5.400754E-19     -3.021599E-08     -3.181383E-20	
        43         2      8.327776E-20     -1.753236E-19     -5.374035E-08     -3.904108E-19     -3.021599E-08      7.288354E-20	
        44         2     -4.862673E-20     -1.130270E-19     -2.352437E-08     -3.455203E-19     -3.021599E-08     -3.564533E-19	
        45         2      7.616926E-21     -2.371158E-19      6.691620E-09     -3.829622E-19     -3.021599E-08      1.249626E-19	
        46         2     -1.667523E-19     -1.668451E-19      3.690761E-08     -3.297726E-19     -3.021599E-08     -1.091944E-19	
        47         2     -4.537814E-19     -3.668386E-19      6.712359E-08     -3.271959E-19     -3.021599E-08     -4.414387E-19	
        48         2     -5.418498E-19     -5.618916E-19      9.733958E-08     -4.020266E-19     -3.021599E-08     -2.323602E-19	
        49         2     -4.256892E-19     -4.232358E-19      1.275556E-07     -2.497766E-19     -3.021599E-08      3.969356E-19	
        50         2     -2.968778E-19     -6.555641E-20      1.577716E-07     -5.129334E-19     -3.021599E-08      3.014605E-19	
        51         2     -3.370667E-19      1.508882E-19      1.879875E-07     -3.609100E-19     -3.021599E-08      3.015003E-19	
        52         2     -2.997018E-19      2.904724E-19      2.182035E-07     -3.727342E-19     -3.021599E-08     -5.777165E-20	
        53         2     -4.707067E-19      4.193630E-19      2.484195E-07     -3.370728E-19     -3.021599E-08      2.882861E-19	
        54         2     -4.817256E-19      5.438510E-19      2.786355E-07     -2.858833E-19     -3.021599E-08     -2.500754E-20	
        55         2     -3.787912E-19      5.423685E-19      3.088515E-07     -5.834174E-19     -3.021599E-08     -7.717944E-21	
        56         2     -1.464445E-19      5.257382E-19      3.390675E-07     -3.362354E-19     -3.021599E-08     -4.315485E-19	
        57         2      4.442873E-20      7.821919E-20      3.692835E-07     -3.663039E-19     -3.021599E-08     -5.778104E-19	
        58         2      5.087369E-20     -4.395010E-19      3.994994E-07     -2.099062E-19     -3.021599E-08     -1.674401E-19	
        59         2     -4.497273E-20     -5.763562E-19      4.297154E-07     -4.087207E-19     -3.021599E-08     -9.489082E-20	
        60         2      1.340968E-19     -4.185204E-19      4.599314E-07     -3.650128E-19     -3.021599E-08      3.264582E-19	
        61         2      1.310272E-20     -2.228421E-19      4.901474E-07     -5.010793E-19     -3.021599E-08      1.203464E-20	
        62         2      1.257130E-19     -1.648065E-19      5.203634E-07     -6.187733E-19     -3.021599E-08     -2.182643E-19	
        63         2      1.485674E-19     -2.720473E-19      5.505794E-07     -8.315410E-19     -3.021599E-08     -2.996349E-20	
        64         2      2.919645E-19     -1.694734E-19      5.807954E-07     -1.004698E-18     -3.021599E-08      3.013661E-19	
        65         2      2.299349E-19      1.711952E-19      6.110113E-07     -6.658376E-19     -3.021599E-08      3.659499E-19	
         1         3      0.000000E+00      0.000000E+00      1.345579E-18      0.000000E+00      0.000000E+00      0.000000E+00	
         2         3      5.785856E-06      1.652548E-19      1.338214E-18      2.707725E-20     -1.860915E-20     -1.143556E-05	
         3         3      2.259883E-05      3.405076E-19      1.257004E-18     -2.624683E-19     -9.080226E-20     -2.205425E-05	
         4         3      4.962212E-05      7.188341E-20      1.081375E-18      1.311271E-19     -3.444551E-20     -3.185626E-05	
         5         3      8.603935E-05     -2.500333E-19      1.264714E-18      1.690536E-19      6.727803E-21     -4.084228E-05	
         6         3      1.310351E-04     -5.716737E-19      1.155627E-18     -4.818546E-20      1.641339E-19     -4.901364E-05	
         7         3      1.837958E-04     -3.191770E-19      1.130269E-18     -1.163018E-19      1.691735E-19     -5.637257E-05	
         8         3      2.435105E-04      1.760544E-21      8.508642E-19     -2.188520E-20      1.148978E-19     -6.292230E-05	
         9         3      3.093721E-04      6.292173E-20      7.251435E-19      1.018073E-19      1.461435E-19     -6.866726E-05	
        10         3      3.805787E-04     -1.171240E-19      7.323999E-19     -9.510351E-20      2.660304E-19     -7.361321E-05	
        11         3      4.563346E-04     -2.990178E-19      6.821354E-19     -7.291070E-20      1.153146E-20     -7.776733E-05	
        12         3      5.358523E-04     -1.528095E-19      6.294947E-19      2.901027E-19     -1.936901E-19     -8.113838E-05	
        13         3      6.183538E-04      3.330836E-19      6.747366E-19     -1.487294E-19      1.124578E-19     -8.373674E-05	
        14         3      7.030722E-04      4.527620E-19      6.341753E-19     -5.745302E-20     -9.079449E-20     -8.557449E-05	
        15         3      7.892538E-04      1.103301E-19      5.837308E-19     -2.273319E-19     -2.990249E-19     -8.666548E-05	
        16         3      8.761595E-04     -4.277481E-19      5.516806E-19     -1.484770E-19      2.941143E-20     -8.702536E-05	
        17         3      0.000000E+00      0.000000E+00     -4.279265E-19      0.000000E+00      0.000000E+00      0.000000E+00	
        18         3     -9.451443E-20      9.970830E-20     -6.395190E-19     -3.692728E-19      1.868353E-19      2.031190E-19	
        19         3      5.123444E-20     -1.036970E-19     -7.182903E-19      4.973888E-20     -2.384546E-19     -1.355137E-19	
        20         3      3.771417E-19     -1.733842E-19     -4.499294E-19      1.087940E-19     -2.942899E-19     -5.672486E-19	
        21         3      7.800016E-19     -8.417473E-20     -2.581674E-19      2.465681E-19      2.403295E-19     -3.711446E-19	
        22         3      1.014964E-18     -6.343242E-20     -1.086798E-19     -1.815406E-20     -4.052009E-20     -6.840853E-20	
        23         3      1.052399E-18      4.506819E-20     -3.130665E-19     -5.612904E-20     -6.657160E-20      1.811044E-19	
        24         3      1.068559E-18      2.388779E-19     -2.882752E-19      1.537660E-19      3.525429E-19     -7.743065E-20	
        25         3      1.399079E-18      7.472639E-20     -4.050228E-19     -1.502508E-19      2.685424E-19     -5.470912E-19	
        26         3      1.493062E-18     -8.635721E-21     -4.569077E-19     -1.976916E-20      2.653080E-19      2.081023E-19	
        27         3      1.215959E-18     -1.954296E-19     -7.203437E-19     -4.138259E-19      4.277205E-19      6.124044E-19	
        28         3      7.672285E-19      9.510948E-21     -8.903077E-19     -4.186580E-19      2.620873E-19      4.727200E-19	
        29         3      5.803132E-19      2.357545E-19     -9.891380E-19      7.429873E-21     -1.535273E-19     -5.654916E-20	
        30         3      5.564703E-19      3.776796E-19     -9.564727E-19      8.061214E-20      1.309504E-19     -4.508224E-20	
        31         3      3.498414E-19      2.954423E-19     -1.225939E-18      1.969473E-19     -3.456726E-19      5.484704E-19	
        32         3     -3.076643E-19      1.058890E-19     -1.311362E-18     -2.455906E-19     -1.037852E-19      8.485023E-19	
        33         3      8.761595E-04     -4.277481E-19      5.516806E-19     -1.484770E-19      2.203941E-19      4.439148E-19	
        34         3      8.765248E-04     -1.646799E-19      3.107944E-19      3.103277E-20      4.220980E-20      2.766784E-19	
        35         3      8.768786E-04     -4.388747E-21      3.403796E-19     -2.803751E-19      1.002887E-19      2.284506E-19	
        36         3      8.772208E-04      2.074708E-19      3.257224E-19      2.502338E-20     -2.242230E-20      1.469184E-19	
        37         3      8.775515E-04      2.150085E-19      2.939067E-19     -3.934936E-19      3.848004E-19     -1.695138E-19	
        38         3      8.778706E-04      1.131386E-19      1.618240E-19     -1.197704E-19      1.543869E-19     -1.387619E-20	
        39         3      8.781782E-04      1.745711E-19      1.148305E-19     -3.947428E-19      2.375551E-20      2.554198E-20	
        40         3      8.784741E-04      3.054632E-19      1.597494E-19     -3.548362E-19     -5.001370E-20      2.811105E-19	
        41         3      8.787585E-04      4.778693E-19      1.677385E-19     -5.848887E-19     -9.304107E-20      5.362715E-20	
        42         3      8.790313E-04      3.924742E-19      4.725256E-20     -3.497843E-19      2.916808E-19      4.131129E-20	
        43         3      8.792926E-04      4.256427E-19      5.668508E-20     -5.102654E-19      2.645092E-19      2.931038E-19	
        44         3      8.795422E-04      7.873463E-19     -4.256603E-22     -4.840665E-19      2.422545E-19      6.160540E-19	
        45         3      8.797803E-04      1.245649E-18     -8.071090E-20     -3.773062E-19      9.311321E-21      1.595388E-19	
        46         3      8.800068E-04      1.258490E-18     -4.419205E-20     -3.969910E-19     -1.394088E-19     -1.488253E-19	
        47         3      8.802216E-04      1.248015E-18     -1.375061E-19     -1.630051E-19      7.799389E-20      1.474448E-19	
        48         3      8.804249E-04      1.502931E-18     -2.770410E-19     -3.415835E-19      2.115782E-19      4.095038E-19	
        49         3      8.806166E-04      2.086754E-18     -2.307251E-19     -3.128691E-19      8.993028E-20      4.545170E-19	
        50         3      8.807966E-04      2.007315E-18     -3.155603E-19     -4.081311E-19      9.672243E-20     -2.129387E-19	
        51         3      8.809651E-04      1.889008E-18     -3.065568E-19     -5.819525E-19      1.276749E-19     -1.521766E-19	
        52         3      8.811219E-04      1.934022E-18     -3.317853E-19     -4.313979E-19      3.692532E-20     -1.567879E-19	
        53         3      8.812672E-04      1.964061E-18     -3.205834E-19     -5.491950E-19      3.327378E-20      2.950450E-20	
        54         3      8.814008E-04      2.091236E-18     -2.724259E-19     -3.296446E-19      1.082366E-19     -3.806971E-20	
        55         3      8.815228E-04      2.121962E-18     -3.279615E-19     -4.097109E-19     -1.323698E-19     -2.158348E-20	
        56         3      8.816332E-04      2.026682E-18     -4.904578E-19     -4.319090E-19      1.609620E-20      1.195772E-19	
        57         3      8.817320E-04      2.069228E-18     -4.309703E-19     -6.136555E-19      1.021613E-19     -9.670075E-20	
        58         3      8.818192E-04      2.028332E-18     -5.752405E-19     -5.438696E-19     -6.788275E-20     -1.892083E-19	
        59         3      8.818947E-04      1.773847E-18     -6.133366E-19     -4.773572E-19     -2.240934E-21     -1.166298E-19	
        60         3      8.819587E-04      1.651572E-18     -7.081930E-19     -3.635830E-19      9.112095E-20     -1.242701E-19	
        61         3      8.820110E-04      1.437386E-18     -8.078661E-19     -2.976629E-19      7.656167E-20     -1.618948E-19	
        62         3      8.820516E-04      1.261010E-18     -9.490008E-19     -2.698563E-19      2.522067E-19     -3.905131E-19	
        63         3      8.820807E-04      7.485737E-19     -1.082098E-18     -1.517308E-19      1.714615E-19     -5.648925E-19	
        64         3      8.820981E-04      3.976618E-19     -1.258193E-18     -2.150918E-19      2.048328E-19     -7.132022E-20	
